,link,price,pdate
0,https://www.engelvoelkers.com/en-nl/property/herengracht-395-amsterdam-4521051.942616_exp/,0,2022-06-02
1,https://www.engelvoelkers.com/en-nl/property/frans-van-mierisstraat-87-iii-1071-rm-amsterdam-4516764.942159_exp/,0,2022-06-02
2,https://www.engelvoelkers.com/en-nl/property/verhuurd%3A-michelangelostraat-105-amsterdam-4471252.937197_exp/,0,2022-06-02
3,https://www.engelvoelkers.com/en-nl/property/prinsengracht-299-d-amsterdam-4379084.924343_exp/,0,2022-06-02
4,https://www.hausing.com/properties-for-rent-amsterdam/albert-cuypstraat-203-2f,1750,2022-06-02
5,https://www.hausing.com/properties-for-rent-amsterdam/van-woustraat-113-1,2150,2022-06-02
6,https://www.hausing.com/properties-for-rent-amsterdam/eerste-jan-van-der-heijdenstraat-101-h,2350,2022-06-02
7,https://www.hausing.com/properties-for-rent-amsterdam/touwslagerstraat-35,1600,2022-06-02
8,https://www.hausing.com/properties-for-rent-amsterdam/sausalitolaan-34,1900,2022-06-02
9,https://www.hausing.com/properties-for-rent-amsterdam/korte-amstelstraat-20,1950,2022-06-02
10,https://www.hausing.com/properties-for-rent-amsterdam/insulindeweg-966,2150,2022-06-02
11,https://www.hausing.com/properties-for-rent-amsterdam/prinsengracht-145-n,2150,2022-06-02
12,https://www.hausing.com/properties-for-rent-amsterdam/j-f-hengelstraat-35,2150,2022-06-02
13,https://www.hausing.com/properties-for-rent-amsterdam/prins-hendrikkade-7-1,1850,2022-06-02
14,https://www.hausing.com/properties-for-rent-amsterdam/gerard-brandtstraat-2-b,1950,2022-06-02
15,https://www.hausing.com/properties-for-rent-amsterdam/discusstraat-1,2150,2022-06-02
16,https://www.hausing.com/properties-for-rent-amsterdam/sausalitolaan-64,1900,2022-06-02
17,https://www.hausing.com/properties-for-rent-amsterdam/elisabeth-wolffstraat-33-3v,1650,2022-06-02
18,https://www.hausing.com/properties-for-rent-amsterdam/ceintuurbaan-402-1,1550,2022-06-02
19,https://www.hausing.com/properties-for-rent-amsterdam/mauritskade-106-a,2150,2022-06-02
20,https://www.hausing.com/properties-for-rent-amsterdam/gerand-brandtstraat-2-d,1950,2022-06-02
